,height,width,xmin,ymin,xmax,ymax,label
37.png,20.0,7.0,42.0,2.0,49.0,22.0,1.0
38.png,57.0,26.0,87.0,28.0,113.0,85.0,1.0
38.png,57.0,37.0,108.0,22.0,145.0,79.0,7.0
39.png,40.0,13.0,62.0,19.0,75.0,59.0,3.0
39.png,40.0,9.0,74.0,20.0,83.0,60.0,1.0
40.png,61.0,28.0,61.0,9.0,89.0,70.0,2.0
40.png,61.0,28.0,93.0,17.0,121.0,78.0,10.0
41.png,35.0,11.0,38.0,10.0,49.0,45.0,4.0
41.png,35.0,13.0,50.0,9.0,63.0,44.0,2.0
42.png,51.0,25.0,110.0,27.0,135.0,78.0,2.0
42.png,51.0,30.0,131.0,36.0,161.0,87.0,5.0
42.png,51.0,26.0,159.0,36.0,185.0,87.0,1.0
43.png,51.0,31.0,87.0,24.0,118.0,75.0,2.0
43.png,51.0,26.0,119.0,20.0,145.0,71.0,9.0
44.png,26.0,13.0,19.0,3.0,32.0,29.0,2.0
44.png,26.0,8.0,32.0,3.0,40.0,29.0,10.0
44.png,26.0,7.0,40.0,3.0,47.0,29.0,4.0
45.png,31.0,8.0,35.0,3.0,43.0,34.0,1.0
45.png,31.0,12.0,44.0,4.0,56.0,35.0,10.0
46.png,104.0,49.0,136.0,87.0,185.0,191.0,3.0
46.png,104.0,41.0,201.0,44.0,242.0,148.0,2.0
46.png,104.0,53.0,257.0,18.0,310.0,122.0,7.0
47.png,15.0,6.0,14.0,2.0,20.0,17.0,2.0
47.png,15.0,5.0,20.0,1.0,25.0,16.0,4.0
48.png,50.0,28.0,74.0,20.0,102.0,70.0,4.0
48.png,50.0,29.0,103.0,17.0,132.0,67.0,6.0
49.png,45.0,36.0,65.0,18.0,101.0,63.0,8.0
49.png,45.0,26.0,102.0,15.0,128.0,60.0,1.0
49.png,45.0,28.0,132.0,16.0,160.0,61.0,7.0
50.png,26.0,11.0,58.0,27.0,69.0,53.0,1.0
50.png,26.0,15.0,74.0,22.0,89.0,48.0,10.0
50.png,26.0,15.0,95.0,17.0,110.0,43.0,3.0
51.png,45.0,16.0,47.0,7.0,63.0,52.0,9.0
51.png,45.0,9.0,66.0,9.0,75.0,54.0,1.0
52.png,38.0,23.0,45.0,12.0,68.0,50.0,3.0
52.png,38.0,28.0,74.0,11.0,102.0,49.0,5.0
53.png,84.0,59.0,160.0,34.0,219.0,118.0,9.0
53.png,84.0,52.0,208.0,18.0,260.0,102.0,3.0
54.png,45.0,18.0,36.0,10.0,54.0,55.0,1.0
54.png,45.0,21.0,56.0,8.0,77.0,53.0,1.0
55.png,35.0,15.0,116.0,27.0,131.0,62.0,1.0
55.png,35.0,10.0,128.0,29.0,138.0,64.0,1.0
55.png,35.0,17.0,137.0,29.0,154.0,64.0,3.0
55.png,35.0,17.0,151.0,26.0,168.0,61.0,7.0
56.png,20.0,9.0,22.0,4.0,31.0,24.0,5.0
56.png,20.0,9.0,35.0,3.0,44.0,23.0,6.0
57.png,25.0,16.0,63.0,38.0,79.0,63.0,2.0
57.png,25.0,15.0,74.0,26.0,89.0,51.0,1.0
57.png,25.0,19.0,83.0,12.0,102.0,37.0,5.0
58.png,46.0,19.0,45.0,6.0,64.0,52.0,1.0
58.png,46.0,17.0,65.0,2.0,82.0,48.0,1.0
59.png,42.0,19.0,35.0,3.0,54.0,45.0,2.0
60.png,20.0,9.0,16.0,1.0,25.0,21.0,4.0
60.png,20.0,7.0,25.0,1.0,32.0,21.0,7.0
61.png,19.0,9.0,33.0,6.0,42.0,25.0,5.0
62.png,46.0,24.0,45.0,6.0,69.0,52.0,3.0
62.png,46.0,25.0,61.0,8.0,86.0,54.0,2.0
63.png,63.0,40.0,96.0,23.0,136.0,86.0,4.0
63.png,63.0,37.0,132.0,27.0,169.0,90.0,3.0
64.png,26.0,8.0,26.0,4.0,34.0,30.0,2.0
64.png,26.0,16.0,37.0,3.0,53.0,29.0,9.0
65.png,21.0,11.0,25.0,6.0,36.0,27.0,5.0
65.png,21.0,12.0,36.0,7.0,48.0,28.0,8.0
66.png,30.0,11.0,38.0,6.0,49.0,36.0,9.0
66.png,30.0,14.0,46.0,6.0,60.0,36.0,5.0
67.png,47.0,12.0,48.0,5.0,60.0,52.0,1.0
67.png,47.0,22.0,59.0,4.0,81.0,51.0,10.0
68.png,35.0,14.0,71.0,19.0,85.0,54.0,5.0
68.png,35.0,13.0,88.0,19.0,101.0,54.0,4.0
68.png,35.0,20.0,102.0,14.0,122.0,49.0,2.0
69.png,46.0,15.0,54.0,12.0,69.0,58.0,4.0
69.png,46.0,14.0,67.0,16.0,81.0,62.0,4.0
70.png,16.0,11.0,20.0,5.0,31.0,21.0,3.0
70.png,16.0,7.0,30.0,5.0,37.0,21.0,1.0
71.png,22.0,11.0,24.0,4.0,35.0,26.0,2.0
71.png,22.0,10.0,36.0,4.0,46.0,26.0,3.0
71.png,22.0,9.0,48.0,3.0,57.0,25.0,8.0
71.png,22.0,10.0,58.0,3.0,68.0,25.0,6.0
72.png,17.0,7.0,26.0,6.0,33.0,23.0,1.0
72.png,17.0,11.0,34.0,5.0,45.0,22.0,5.0
73.png,14.0,5.0,18.0,3.0,23.0,17.0,3.0
74.png,26.0,10.0,28.0,4.0,38.0,30.0,3.0
74.png,26.0,12.0,40.0,6.0,52.0,32.0,3.0
75.png,29.0,7.0,34.0,10.0,41.0,39.0,1.0
75.png,29.0,11.0,40.0,9.0,51.0,38.0,8.0
76.png,18.0,6.0,22.0,2.0,28.0,20.0,9.0
76.png,18.0,6.0,29.0,2.0,35.0,20.0,8.0
77.png,60.0,30.0,53.0,5.0,83.0,65.0,7.0
77.png,60.0,24.0,84.0,4.0,108.0,64.0,3.0
77.png,60.0,24.0,106.0,6.0,130.0,66.0,9.0
78.png,22.0,9.0,78.0,14.0,87.0,36.0,1.0
78.png,22.0,8.0,86.0,14.0,94.0,36.0,3.0
78.png,22.0,11.0,93.0,12.0,104.0,34.0,8.0
79.png,51.0,22.0,40.0,41.0,62.0,92.0,1.0
79.png,51.0,30.0,64.0,33.0,94.0,84.0,9.0
79.png,51.0,35.0,99.0,17.0,134.0,68.0,2.0
79.png,51.0,31.0,138.0,11.0,169.0,62.0,2.0
80.png,19.0,12.0,38.0,11.0,50.0,30.0,2.0
80.png,19.0,16.0,54.0,8.0,70.0,27.0,2.0
81.png,31.0,14.0,49.0,8.0,63.0,39.0,7.0
81.png,31.0,17.0,64.0,7.0,81.0,38.0,4.0
82.png,30.0,19.0,35.0,8.0,54.0,38.0,4.0
82.png,30.0,18.0,54.0,6.0,72.0,36.0,5.0
83.png,29.0,16.0,36.0,6.0,52.0,35.0,6.0
83.png,29.0,12.0,53.0,15.0,65.0,44.0,10.0
84.png,32.0,20.0,34.0,6.0,54.0,38.0,3.0
85.png,15.0,6.0,17.0,7.0,23.0,22.0,1.0
85.png,15.0,7.0,23.0,6.0,30.0,21.0,7.0
86.png,20.0,7.0,26.0,4.0,33.0,24.0,3.0
86.png,20.0,9.0,33.0,5.0,42.0,25.0,5.0
87.png,35.0,14.0,67.0,16.0,81.0,51.0,1.0
87.png,35.0,24.0,81.0,17.0,105.0,52.0,7.0
88.png,36.0,27.0,47.0,13.0,74.0,49.0,5.0
89.png,64.0,26.0,85.0,23.0,111.0,87.0,1.0
89.png,64.0,33.0,110.0,19.0,143.0,83.0,8.0
90.png,30.0,6.0,37.0,6.0,43.0,36.0,1.0
90.png,30.0,13.0,46.0,7.0,59.0,37.0,6.0
90.png,30.0,13.0,61.0,10.0,74.0,40.0,4.0
91.png,26.0,9.0,49.0,18.0,58.0,44.0,1.0
91.png,26.0,11.0,59.0,17.0,70.0,43.0,9.0
91.png,26.0,11.0,68.0,13.0,79.0,39.0,3.0
92.png,35.0,19.0,35.0,6.0,54.0,41.0,3.0
92.png,35.0,14.0,56.0,8.0,70.0,43.0,5.0
93.png,32.0,12.0,40.0,11.0,52.0,43.0,1.0
93.png,32.0,19.0,51.0,7.0,70.0,39.0,7.0
94.png,34.0,12.0,54.0,18.0,66.0,52.0,1.0
94.png,34.0,19.0,67.0,12.0,86.0,46.0,2.0
95.png,26.0,10.0,127.0,58.0,137.0,84.0,1.0
95.png,26.0,9.0,136.0,60.0,145.0,86.0,10.0
95.png,26.0,11.0,148.0,60.0,159.0,86.0,4.0
95.png,26.0,10.0,157.0,59.0,167.0,85.0,4.0
96.png,39.0,23.0,33.0,6.0,56.0,45.0,1.0
96.png,39.0,32.0,56.0,5.0,88.0,44.0,8.0
97.png,32.0,16.0,34.0,8.0,50.0,40.0,3.0
97.png,32.0,14.0,48.0,6.0,62.0,38.0,6.0
98.png,37.0,15.0,50.0,7.0,65.0,44.0,1.0
98.png,37.0,21.0,66.0,7.0,87.0,44.0,2.0
98.png,37.0,27.0,85.0,11.0,112.0,48.0,10.0
99.png,29.0,17.0,30.0,4.0,47.0,33.0,2.0
100.png,22.0,5.0,18.0,1.0,23.0,23.0,1.0
100.png,22.0,9.0,23.0,0.0,32.0,22.0,10.0
100.png,22.0,10.0,32.0,0.0,42.0,22.0,9.0
101.png,27.0,13.0,27.0,7.0,40.0,34.0,5.0
101.png,27.0,12.0,42.0,5.0,54.0,32.0,3.0
102.png,51.0,18.0,58.0,14.0,76.0,65.0,3.0
102.png,51.0,16.0,77.0,9.0,93.0,60.0,5.0
103.png,28.0,20.0,54.0,2.0,74.0,30.0,7.0
104.png,69.0,29.0,67.0,18.0,96.0,87.0,1.0
104.png,69.0,21.0,99.0,20.0,120.0,89.0,10.0
104.png,69.0,26.0,122.0,12.0,148.0,81.0,4.0
105.png,100.0,44.0,83.0,13.0,127.0,113.0,1.0
105.png,100.0,69.0,128.0,10.0,197.0,110.0,4.0
106.png,17.0,10.0,37.0,12.0,47.0,29.0,1.0
106.png,17.0,11.0,49.0,12.0,60.0,29.0,4.0
107.png,29.0,14.0,49.0,16.0,63.0,45.0,5.0
107.png,29.0,16.0,64.0,13.0,80.0,42.0,2.0
108.png,27.0,14.0,28.0,3.0,42.0,30.0,2.0
109.png,28.0,18.0,38.0,11.0,56.0,39.0,3.0
109.png,28.0,14.0,57.0,10.0,71.0,38.0,10.0
110.png,18.0,10.0,16.0,1.0,26.0,19.0,6.0
110.png,18.0,11.0,27.0,1.0,38.0,19.0,3.0
111.png,20.0,11.0,23.0,8.0,34.0,28.0,9.0
112.png,37.0,14.0,31.0,2.0,45.0,39.0,1.0
112.png,37.0,21.0,44.0,1.0,65.0,38.0,8.0
112.png,37.0,19.0,63.0,6.0,82.0,43.0,7.0
113.png,21.0,8.0,19.0,1.0,27.0,22.0,1.0
113.png,21.0,12.0,27.0,3.0,39.0,24.0,3.0
114.png,28.0,7.0,29.0,6.0,36.0,34.0,1.0
114.png,28.0,10.0,37.0,4.0,47.0,32.0,9.0
115.png,26.0,9.0,26.0,1.0,35.0,27.0,3.0
115.png,26.0,13.0,38.0,1.0,51.0,27.0,2.0
116.png,14.0,8.0,27.0,12.0,35.0,26.0,5.0
116.png,14.0,6.0,34.0,12.0,40.0,26.0,1.0
116.png,14.0,9.0,40.0,11.0,49.0,25.0,3.0
117.png,145.0,79.0,145.0,8.0,224.0,153.0,4.0
117.png,145.0,87.0,224.0,13.0,311.0,158.0,8.0
118.png,15.0,9.0,13.0,2.0,22.0,17.0,3.0
118.png,15.0,9.0,22.0,2.0,31.0,17.0,4.0
118.png,15.0,9.0,31.0,1.0,40.0,16.0,2.0
118.png,15.0,7.0,40.0,1.0,47.0,16.0,1.0
119.png,48.0,27.0,91.0,55.0,118.0,103.0,3.0
119.png,48.0,29.0,113.0,44.0,142.0,92.0,2.0
119.png,48.0,39.0,135.0,33.0,174.0,81.0,3.0
120.png,40.0,24.0,65.0,20.0,89.0,60.0,5.0
120.png,40.0,17.0,84.0,20.0,101.0,60.0,1.0
121.png,21.0,6.0,32.0,8.0,38.0,29.0,1.0
121.png,21.0,13.0,43.0,8.0,56.0,29.0,3.0
121.png,21.0,11.0,63.0,7.0,74.0,28.0,5.0
121.png,21.0,13.0,79.0,7.0,92.0,28.0,8.0
122.png,23.0,4.0,21.0,2.0,25.0,25.0,1.0
122.png,23.0,5.0,26.0,1.0,31.0,24.0,7.0
123.png,22.0,10.0,25.0,5.0,35.0,27.0,6.0
124.png,23.0,10.0,19.0,1.0,29.0,24.0,5.0
125.png,17.0,6.0,18.0,3.0,24.0,20.0,6.0
125.png,17.0,10.0,23.0,3.0,33.0,20.0,4.0
126.png,52.0,15.0,56.0,14.0,71.0,66.0,1.0
126.png,52.0,22.0,72.0,12.0,94.0,64.0,10.0
126.png,52.0,21.0,97.0,8.0,118.0,60.0,8.0
127.png,36.0,16.0,32.0,15.0,48.0,51.0,8.0
128.png,45.0,9.0,56.0,16.0,65.0,61.0,1.0
128.png,45.0,11.0,65.0,22.0,76.0,67.0,3.0
129.png,17.0,8.0,21.0,5.0,29.0,22.0,6.0
129.png,17.0,9.0,29.0,5.0,38.0,22.0,8.0
130.png,21.0,17.0,26.0,4.0,43.0,25.0,4.0
131.png,18.0,8.0,24.0,6.0,32.0,24.0,1.0
131.png,18.0,11.0,32.0,5.0,43.0,23.0,7.0
131.png,18.0,11.0,44.0,5.0,55.0,23.0,4.0
132.png,67.0,43.0,78.0,20.0,121.0,87.0,9.0
132.png,67.0,36.0,122.0,8.0,158.0,75.0,8.0
133.png,99.0,43.0,91.0,13.0,134.0,112.0,4.0
133.png,99.0,44.0,132.0,14.0,176.0,113.0,4.0
134.png,14.0,9.0,16.0,2.0,25.0,16.0,9.0
135.png,28.0,13.0,26.0,2.0,39.0,30.0,6.0
135.png,28.0,12.0,41.0,3.0,53.0,31.0,8.0
136.png,37.0,15.0,52.0,10.0,67.0,47.0,2.0
137.png,43.0,14.0,50.0,10.0,64.0,53.0,1.0
137.png,43.0,17.0,70.0,10.0,87.0,53.0,10.0
138.png,37.0,17.0,60.0,19.0,77.0,56.0,4.0
138.png,37.0,20.0,81.0,15.0,101.0,52.0,6.0
139.png,23.0,13.0,21.0,1.0,34.0,24.0,2.0
139.png,23.0,13.0,35.0,2.0,48.0,25.0,8.0
140.png,18.0,12.0,18.0,1.0,30.0,19.0,9.0
141.png,24.0,9.0,25.0,4.0,34.0,28.0,3.0
141.png,24.0,8.0,35.0,2.0,43.0,26.0,9.0
142.png,87.0,65.0,92.0,7.0,157.0,94.0,4.0
143.png,24.0,17.0,51.0,13.0,68.0,37.0,4.0
143.png,24.0,14.0,67.0,14.0,81.0,38.0,1.0
144.png,28.0,8.0,27.0,3.0,35.0,31.0,1.0
144.png,28.0,14.0,36.0,3.0,50.0,31.0,9.0
144.png,28.0,11.0,51.0,3.0,62.0,31.0,5.0
145.png,93.0,38.0,93.0,18.0,131.0,111.0,3.0
145.png,93.0,38.0,120.0,23.0,158.0,116.0,3.0
146.png,13.0,7.0,23.0,4.0,30.0,17.0,2.0
146.png,13.0,9.0,29.0,5.0,38.0,18.0,5.0
146.png,13.0,6.0,37.0,7.0,43.0,20.0,1.0
146.png,13.0,9.0,43.0,6.0,52.0,19.0,8.0
147.png,24.0,6.0,28.0,3.0,34.0,27.0,1.0
147.png,24.0,14.0,34.0,3.0,48.0,27.0,5.0
148.png,30.0,16.0,140.0,43.0,156.0,73.0,3.0
148.png,30.0,19.0,161.0,43.0,180.0,73.0,10.0
148.png,30.0,19.0,183.0,42.0,202.0,72.0,10.0
149.png,17.0,8.0,19.0,3.0,27.0,20.0,4.0
149.png,17.0,9.0,26.0,3.0,35.0,20.0,7.0
150.png,27.0,19.0,136.0,36.0,155.0,63.0,2.0
150.png,27.0,12.0,156.0,36.0,168.0,63.0,8.0
150.png,27.0,18.0,167.0,35.0,185.0,62.0,6.0
151.png,21.0,14.0,25.0,4.0,39.0,25.0,3.0
151.png,21.0,15.0,40.0,4.0,55.0,25.0,3.0
152.png,37.0,15.0,52.0,8.0,67.0,45.0,2.0
152.png,37.0,12.0,66.0,10.0,78.0,47.0,10.0
152.png,37.0,11.0,76.0,9.0,87.0,46.0,7.0
153.png,28.0,6.0,30.0,7.0,36.0,35.0,1.0
153.png,28.0,9.0,36.0,7.0,45.0,35.0,9.0
154.png,20.0,14.0,18.0,3.0,32.0,23.0,2.0
155.png,44.0,22.0,68.0,13.0,90.0,57.0,7.0
156.png,28.0,16.0,35.0,9.0,51.0,37.0,6.0
157.png,37.0,26.0,37.0,7.0,63.0,44.0,5.0
157.png,37.0,23.0,65.0,7.0,88.0,44.0,7.0
158.png,81.0,53.0,113.0,34.0,166.0,115.0,2.0
159.png,29.0,23.0,28.0,11.0,51.0,40.0,9.0
159.png,29.0,14.0,51.0,6.0,65.0,35.0,1.0
160.png,27.0,8.0,49.0,9.0,57.0,36.0,2.0
160.png,27.0,8.0,59.0,11.0,67.0,38.0,10.0
160.png,27.0,13.0,70.0,11.0,83.0,38.0,8.0
161.png,63.0,33.0,91.0,26.0,124.0,89.0,8.0
161.png,63.0,33.0,118.0,25.0,151.0,88.0,5.0
162.png,36.0,21.0,32.0,1.0,53.0,37.0,3.0
163.png,36.0,25.0,148.0,49.0,173.0,85.0,5.0
163.png,36.0,22.0,167.0,46.0,189.0,82.0,6.0
163.png,36.0,25.0,184.0,46.0,209.0,82.0,10.0
164.png,57.0,24.0,57.0,10.0,81.0,67.0,5.0
165.png,40.0,14.0,45.0,12.0,59.0,52.0,1.0
165.png,40.0,20.0,58.0,13.0,78.0,53.0,7.0
165.png,40.0,23.0,78.0,14.0,101.0,54.0,6.0
166.png,27.0,24.0,40.0,18.0,64.0,45.0,7.0
166.png,27.0,21.0,55.0,11.0,76.0,38.0,5.0
166.png,27.0,21.0,72.0,7.0,93.0,34.0,4.0
167.png,15.0,5.0,30.0,8.0,35.0,23.0,1.0
167.png,15.0,11.0,35.0,8.0,46.0,23.0,5.0
168.png,24.0,7.0,30.0,8.0,37.0,32.0,2.0
168.png,24.0,6.0,36.0,9.0,42.0,33.0,8.0
168.png,24.0,8.0,42.0,8.0,50.0,32.0,2.0
169.png,33.0,21.0,26.0,3.0,47.0,36.0,4.0
169.png,33.0,18.0,43.0,3.0,61.0,36.0,2.0
170.png,28.0,12.0,30.0,4.0,42.0,32.0,7.0
170.png,28.0,16.0,41.0,8.0,57.0,36.0,6.0
171.png,40.0,32.0,53.0,16.0,85.0,56.0,4.0
171.png,40.0,14.0,80.0,14.0,94.0,54.0,1.0
171.png,40.0,24.0,96.0,13.0,120.0,53.0,9.0
172.png,25.0,9.0,31.0,6.0,40.0,31.0,2.0
172.png,25.0,4.0,45.0,7.0,49.0,32.0,1.0
173.png,16.0,6.0,17.0,5.0,23.0,21.0,1.0
173.png,16.0,5.0,25.0,4.0,30.0,20.0,1.0
174.png,25.0,12.0,31.0,6.0,43.0,31.0,5.0
174.png,25.0,16.0,42.0,4.0,58.0,29.0,9.0
175.png,28.0,11.0,28.0,8.0,39.0,36.0,5.0
175.png,28.0,13.0,40.0,8.0,53.0,36.0,6.0
175.png,28.0,13.0,54.0,8.0,67.0,36.0,8.0
176.png,50.0,33.0,82.0,15.0,115.0,65.0,5.0
177.png,50.0,22.0,125.0,45.0,147.0,95.0,1.0
177.png,50.0,25.0,148.0,49.0,173.0,99.0,5.0
177.png,50.0,23.0,169.0,51.0,192.0,101.0,8.0
178.png,26.0,11.0,31.0,5.0,42.0,31.0,2.0
178.png,26.0,6.0,42.0,5.0,48.0,31.0,1.0
179.png,28.0,9.0,33.0,4.0,42.0,32.0,2.0
179.png,28.0,10.0,43.0,1.0,53.0,29.0,5.0
180.png,17.0,6.0,16.0,5.0,22.0,22.0,1.0
180.png,17.0,7.0,23.0,5.0,30.0,22.0,7.0
180.png,17.0,10.0,31.0,4.0,41.0,21.0,4.0
180.png,17.0,10.0,40.0,4.0,50.0,21.0,2.0
181.png,39.0,17.0,45.0,6.0,62.0,45.0,3.0
181.png,39.0,19.0,63.0,10.0,82.0,49.0,7.0
182.png,41.0,28.0,29.0,1.0,57.0,42.0,3.0
182.png,41.0,22.0,55.0,2.0,77.0,43.0,4.0
183.png,23.0,12.0,22.0,2.0,34.0,25.0,2.0
183.png,23.0,8.0,32.0,3.0,40.0,26.0,1.0
184.png,33.0,24.0,53.0,28.0,77.0,61.0,2.0
184.png,33.0,21.0,77.0,29.0,98.0,62.0,8.0
184.png,33.0,23.0,96.0,34.0,119.0,67.0,10.0
184.png,33.0,22.0,116.0,32.0,138.0,65.0,10.0
185.png,11.0,5.0,10.0,2.0,15.0,13.0,2.0
185.png,11.0,5.0,17.0,1.0,22.0,12.0,5.0
185.png,11.0,5.0,23.0,1.0,28.0,12.0,6.0
186.png,49.0,13.0,34.0,8.0,47.0,57.0,1.0
186.png,49.0,22.0,49.0,9.0,71.0,58.0,3.0
186.png,49.0,30.0,71.0,10.0,101.0,59.0,10.0
187.png,25.0,12.0,20.0,2.0,32.0,27.0,1.0
187.png,25.0,17.0,32.0,1.0,49.0,26.0,9.0
188.png,32.0,16.0,38.0,11.0,54.0,43.0,4.0
188.png,32.0,17.0,55.0,12.0,72.0,44.0,5.0
189.png,31.0,20.0,35.0,4.0,55.0,35.0,9.0
190.png,12.0,6.0,15.0,3.0,21.0,15.0,2.0
190.png,12.0,6.0,22.0,3.0,28.0,15.0,6.0
191.png,20.0,8.0,26.0,7.0,34.0,27.0,1.0
191.png,20.0,11.0,35.0,7.0,46.0,27.0,5.0
191.png,20.0,11.0,46.0,5.0,57.0,25.0,9.0
192.png,22.0,12.0,22.0,2.0,34.0,24.0,3.0
193.png,85.0,23.0,123.0,24.0,146.0,109.0,1.0
194.png,19.0,7.0,47.0,14.0,54.0,33.0,4.0
194.png,19.0,11.0,56.0,13.0,67.0,32.0,3.0
195.png,13.0,5.0,15.0,3.0,20.0,16.0,1.0
195.png,13.0,7.0,20.0,4.0,27.0,17.0,2.0
196.png,51.0,25.0,45.0,10.0,70.0,61.0,1.0
197.png,23.0,8.0,23.0,4.0,31.0,27.0,3.0
197.png,23.0,5.0,31.0,5.0,36.0,28.0,1.0
197.png,23.0,8.0,37.0,6.0,45.0,29.0,6.0
198.png,32.0,22.0,29.0,8.0,51.0,40.0,2.0
198.png,32.0,22.0,49.0,9.0,71.0,41.0,9.0
198.png,32.0,17.0,68.0,9.0,85.0,41.0,7.0
199.png,149.0,77.0,145.0,41.0,222.0,190.0,2.0
199.png,149.0,68.0,206.0,34.0,274.0,183.0,10.0
200.png,32.0,20.0,97.0,4.0,117.0,36.0,3.0
200.png,32.0,16.0,113.0,7.0,129.0,39.0,1.0
200.png,32.0,18.0,126.0,10.0,144.0,42.0,8.0
201.png,38.0,21.0,31.0,3.0,52.0,41.0,2.0
201.png,38.0,17.0,52.0,4.0,69.0,42.0,3.0
202.png,35.0,18.0,148.0,70.0,166.0,105.0,1.0
202.png,35.0,23.0,165.0,69.0,188.0,104.0,10.0
